Account Name,Security,Trade Date,Total Buy Qty,Total Sell Qty,Shares Traded,Long Realized PnL,Short Realized PnL,Long Unrealized PnL,Short Unrealized PnL,Realized PnL Gross,Realized PnL (with Commissions),Unrealized Cummulative,Unrealized Changed (Day Wise),Buy Exposure,Sell Exposure,GMV,NMV,Buy Average price,Sell Average price,Close price,Exposure
model5,A,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.07,0
model5,A,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,0
model5,A,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,0
model5,A,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.92,0
model5,A,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.65,0
model5,A,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.45,0
model5,A,9/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,0
model5,A,9/11/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.59,0
model5,A,9/12/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6,0
model5,A,9/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.92,0
model5,A,9/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.91,0
model5,A,9/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.89,0
model5,A,9/18/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,0
model5,A,9/19/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.25,0
model5,A,9/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.55,0
model5,A,9/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.98,0
model5,A,9/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.96,0
model5,A,9/25/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.89,0
model5,A,9/26/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,0
model5,A,9/29/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.15,0
model5,A,9/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.98,0
model5,A,10/1/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,0
model5,A,10/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.83,0
model5,A,10/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.91,0
model5,A,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.57,0
model5,A,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
model5,A,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.46,0
model5,A,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.03,0
model5,A,10/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.64,0
model5,A,10/13/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.79,0
model5,A,10/14/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.79,0
model5,A,10/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.79,0
model5,A,10/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.71,0
model5,A,10/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.27,0
model5,A,10/20/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.35,0
