Account Name,Security,Trade Date,Total Buy Qty,Total Sell Qty,Shares Traded,Long Realized PnL,Short Realized PnL,Long Unrealized PnL,Short Unrealized PnL,Realized PnL Gross,Realized PnL (with Commissions),Unrealized Cummulative,Unrealized Changed (Day Wise),Buy Exposure,Sell Exposure,GMV,NMV,Buy Average price,Sell Average price,Close price,Exposure
model8,AGNC,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,0
model8,AGNC,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0
model8,AGNC,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0
model8,AGNC,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,0
model8,AGNC,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.68,0
model8,AGNC,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38,0
model8,AGNC,9/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.18,0
model8,AGNC,9/11/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0
model8,AGNC,9/12/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0
model8,AGNC,9/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0
model8,AGNC,9/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61,0
model8,AGNC,9/17/14 15:59,246,0,246,0,0,-1.23,0,0,0,-1.23,-1.23,5544.84,0,5544.84,5544.84,22.545,0,22.54,5544.84
model8,AGNC,9/18/14 15:59,738,0,492,0,0,-107.01,0,0,0,-107.01,-105.78,16331.94,0,16331.94,16331.94,22.275,0,22.13,16331.94
model8,AGNC,9/19/14 0:00,738,0,0,0,0,136.53,0,0,0,136.53,243.54,16575.48,0,16575.48,16575.48,22.275,0,22.46,16575.48
model8,AGNC,9/22/14 0:00,738,0,0,0,0,-18.45,0,0,0,-18.45,-154.98,16420.5,0,16420.5,16420.5,22.275,0,22.25,16420.5
model8,AGNC,9/23/14 0:00,738,0,0,0,0,-77.49,0,0,0,-77.49,-59.04,16361.46,0,16361.46,16361.46,22.275,0,22.17,16361.46
model8,AGNC,9/24/14 15:59,1477,0,739,0,0,-140.22,0,0,0,-140.22,-62.73,32626.93,0,32626.93,32626.93,22.18493907,0,22.09,32626.93
model8,AGNC,9/25/14 0:00,1477,0,0,0,0,-125.45,0,0,0,-125.45,14.77,32641.7,0,32641.7,32641.7,22.18493907,0,22.1,32641.7
model8,AGNC,9/26/14 15:59,2462,0,985,0,0,-1083.5,0,0,0,-1083.5,-958.05,52809.9,0,52809.9,52809.9,21.89009139,0,21.45,52809.9
model8,AGNC,9/29/14 0:00,2462,0,0,0,0,-1083.5,0,0,0,-1083.5,0,52809.9,0,52809.9,52809.9,21.89009139,0,21.45,52809.9
model8,AGNC,9/30/14 0:00,2462,0,0,0,0,-1575.9,0,0,0,-1575.9,-492.4,52317.5,0,52317.5,52317.5,21.89009139,0,21.25,52317.5
model8,AGNC,10/1/14 15:59,2462,2462,2462,-689.08,0,0,0,-689.08,-694.74,0,0,0,0,0,0,0,0,21.61,0
model8,AGNC,10/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.45,0
model8,AGNC,10/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46,0
model8,AGNC,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0
model8,AGNC,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.98,0
model8,AGNC,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.44,0
model8,AGNC,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,0
model8,AGNC,10/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62,0
model8,AGNC,10/13/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0
model8,AGNC,10/14/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0
model8,AGNC,10/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,0
model8,AGNC,10/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.28,0
model8,AGNC,10/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45,0
model8,AGNC,10/20/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.66,0
model8,AGNC,10/21/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0
model8,AGNC,10/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,0
model8,AGNC,10/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0
model8,AGNC,10/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.02,0
model8,AGNC,10/27/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0
model8,AGNC,10/28/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.12,0
model8,AGNC,10/29/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0
model8,AGNC,10/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.69,0
model8,AGNC,10/31/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74,0
