Account Name,Security,Trade Date,Total Buy Qty,Total Sell Qty,Shares Traded,Long Realized PnL,Short Realized PnL,Long Unrealized PnL,Short Unrealized PnL,Realized PnL Gross,Realized PnL (with Commissions),Unrealized Cummulative,Unrealized Changed (Day Wise),Buy Exposure,Sell Exposure,GMV,NMV,Buy Average price,Sell Average price,Close price,Exposure
model2,A,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.07,0
model2,A,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,0
model2,A,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,0
model2,A,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.92,0
model2,A,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.65,0
model2,A,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.45,0
model2,A,9/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,0
model2,A,9/11/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.59,0
model2,A,9/12/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6,0
model2,A,9/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.92,0
model2,A,9/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.91,0
model2,A,9/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.89,0
model2,A,9/18/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,0
model2,A,9/19/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.25,0
model2,A,9/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.55,0
model2,A,9/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.98,0
model2,A,9/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.96,0
model2,A,9/25/14 15:59,234,0,234,0,0,-2.34,0,0,0,-2.34,-2.34,13312.26,0,13312.26,13312.26,56.9,0,56.89,13312.26
model2,A,9/26/14 0:00,234,0,0,0,0,-93.6,0,0,0,-93.6,-91.26,13221,0,13221,13221,56.9,0,56.5,13221
model2,A,9/29/14 15:59,234,234,234,58.5,0,0,0,58.5,57.78,0,0,0,0,0,0,0,0,57.15,0
model2,A,9/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.98,0
model2,A,10/1/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,0
model2,A,10/2/14 15:59,199,0,199,0,0,-1.99,0,0,0,-1.99,-1.99,11110.17,0,11110.17,11110.17,55.84,0,55.83,11110.17
model2,A,10/3/14 15:59,199,199,199,208.95,0,0,0,208.95,208.34,0,0,0,0,0,0,0,0,56.91,0
model2,A,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.57,0
model2,A,10/7/14 15:59,240,0,240,0,0,-4.3,0,0,0,-4.3,-4.3,13200,0,13200,13200,55.01791667,0,55,13200
model2,A,10/8/14 15:59,240,240,240,342.5,0,0,0,342.5,341.76,0,0,0,0,0,0,0,0,56.46,0
model2,A,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.03,0
model2,A,10/10/14 15:59,216,0,216,0,0,3.16,0,0,0,3.16,3.16,11586.24,0,11586.24,11586.24,53.62537037,0,53.64,11586.24
model2,A,10/13/14 0:00,216,0,0,0,0,-180.44,0,0,0,-180.44,-183.6,11402.64,0,11402.64,11402.64,53.62537037,0,52.79,11402.64
model2,A,10/14/14 0:00,216,0,0,0,0,-396.44,0,0,0,-396.44,-216,11186.64,0,11186.64,11186.64,53.62537037,0,51.79,11186.64
model2,A,10/15/14 0:00,216,0,0,0,0,-396.44,0,0,0,-396.44,0,11186.64,0,11186.64,11186.64,53.62537037,0,51.79,11186.64
model2,A,10/16/14 0:00,216,0,0,0,0,-413.72,0,0,0,-413.72,-17.28,11169.36,0,11169.36,11169.36,53.62537037,0,51.71,11169.36
model2,A,10/17/14 0:00,216,0,0,0,0,-292.76,0,0,0,-292.76,120.96,11290.32,0,11290.32,11290.32,53.62537037,0,52.27,11290.32
model2,A,10/20/14 15:59,216,216,216,-275.48,0,0,0,-275.48,-276.14,0,0,0,0,0,0,0,0,52.35,0
model2,A,10/21/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
model2,A,10/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.05,0
model2,A,10/23/14 15:59,0,92,92,0,0,0,0,0,0,0,0,0,-4941.32,4941.32,-4941.32,0,53.71,53.71,4941.32
model2,A,10/24/14 0:00,0,92,0,0,0,0,-31.28,0,0,-31.28,-31.28,0,-4972.6,4972.6,-4972.6,0,53.71,54.05,4972.6
model2,A,10/27/14 0:00,0,92,0,0,0,0,-25.76,0,0,-25.76,5.52,0,-4967.08,4967.08,-4967.08,0,53.71,53.99,4967.08
model2,A,10/28/14 0:00,0,92,0,0,0,0,-87.4,0,0,-87.4,-61.64,0,-5028.72,5028.72,-5028.72,0,53.71,54.66,5028.72
model2,A,10/29/14 15:59,92,92,92,0,-74.52,0,0,-74.52,-74.8,0,0,0,0,0,0,0,0,54.5,0
model2,A,10/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.32,0
model2,A,10/31/14 15:59,0,97,97,0,0,0,-1.04,0,0,-1.04,-1.04,0,-5362.16,5362.16,-5362.16,0,55.26927835,55.28,5362.16
model2,AA,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
model2,AA,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0
model2,AA,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0
model2,AA,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,0
model2,AA,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.01,0
model2,AA,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0
model2,AA,9/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0
model2,AA,9/11/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0
model2,AA,9/12/14 15:59,914,0,914,0,0,0,0,0,0,0,0,15282.08,0,15282.08,15282.08,16.72,0,16.72,15282.08
model2,AA,9/15/14 0:00,914,0,0,0,0,-301.62,0,0,0,-301.62,-301.62,14980.46,0,14980.46,14980.46,16.72,0,16.39,14980.46
model2,AA,9/16/14 0:00,914,0,0,0,0,-511.84,0,0,0,-511.84,-210.22,14770.24,0,14770.24,14770.24,16.72,0,16.16,14770.24
model2,AA,9/17/14 0:00,914,0,0,0,0,-402.16,0,0,0,-402.16,109.68,14879.92,0,14879.92,14879.92,16.72,0,16.28,14879.92
model2,AA,9/18/14 0:00,914,0,0,0,0,-475.28,0,0,0,-475.28,-73.12,14806.8,0,14806.8,14806.8,16.72,0,16.2,14806.8
model2,AA,9/19/14 0:00,914,0,0,0,0,-466.14,0,0,0,-466.14,9.14,14815.94,0,14815.94,14815.94,16.72,0,16.21,14815.94
model2,AA,9/22/14 0:00,914,0,0,0,0,-813.46,0,0,0,-813.46,-347.32,14468.62,0,14468.62,14468.62,16.72,0,15.83,14468.62
model2,AA,9/23/14 0:00,914,0,0,0,0,-932.28,0,0,0,-932.28,-118.82,14349.8,0,14349.8,14349.8,16.72,0,15.7,14349.8
model2,AA,9/24/14 15:59,914,914,914,-748.98,0,0,0,-748.98,-751.01,0,0,0,0,0,0,0,0,15.9,0
model2,AA,9/25/14 15:59,846,0,846,0,0,-8.46,0,0,0,-8.46,-8.46,13222.98,0,13222.98,13222.98,15.64,0,15.63,13222.98
model2,AA,9/26/14 15:59,846,846,846,473.76,0,0,0,473.76,471.9,0,0,0,0,0,0,0,0,16.19,0
model2,AA,9/29/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0
model2,AA,9/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09,0
model2,AA,10/1/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0
model2,AA,10/2/14 15:59,719,0,719,0,0,0,0,0,0,0,0,11043.84,0,11043.84,11043.84,15.36,0,15.36,11043.84
model2,AA,10/3/14 15:59,719,719,719,165.37,0,0,0,165.37,163.85,0,0,0,0,0,0,0,0,15.6,0
model2,AA,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0
model2,AA,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0
model2,AA,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0
model2,AA,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,0
model2,AA,10/10/14 15:59,780,0,780,0,0,0,0,0,0,0,0,11473.8,0,11473.8,11473.8,14.71,0,14.71,11473.8
model2,AA,10/13/14 0:00,780,0,0,0,0,-171.6,0,0,0,-171.6,-171.6,11302.2,0,11302.2,11302.2,14.71,0,14.49,11302.2
model2,AA,10/14/14 0:00,780,0,0,0,0,-327.6,0,0,0,-327.6,-156,11146.2,0,11146.2,11146.2,14.71,0,14.29,11146.2
model2,AA,10/15/14 0:00,780,0,0,0,0,-163.8,0,0,0,-163.8,163.8,11310,0,11310,11310,14.71,0,14.5,11310
model2,AA,10/16/14 0:00,780,0,0,0,0,-85.8,0,0,0,-85.8,78,11388,0,11388,11388,14.71,0,14.6,11388
model2,AA,10/17/14 15:59,780,780,780,674.2,0,0,0,674.2,672.56,0,0,0,0,0,0,0,0,15.62,0
model2,AA,10/20/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0
model2,AA,10/21/14 15:59,0,499,499,0,0,0,1,0,0,1,1,0,-8158.65,8158.65,-8158.65,0,16.35200401,16.35,8158.65
model2,AA,10/22/14 0:00,0,499,0,0,0,0,115.77,0,0,115.77,114.77,0,-8043.88,8043.88,-8043.88,0,16.35200401,16.12,8043.88
model2,AA,10/23/14 0:00,0,499,0,0,0,0,55.89,0,0,55.89,-59.88,0,-8103.76,8103.76,-8103.76,0,16.35200401,16.24,8103.76
model2,AA,10/24/14 0:00,0,499,0,0,0,0,-98.8,0,0,-98.8,-154.69,0,-8258.45,8258.45,-8258.45,0,16.35200401,16.55,8258.45
model2,AA,10/27/14 15:59,499,499,499,0,-18.96,0,0,-18.96,-20.06,0,0,0,0,0,0,0,0,16.38,0
model2,AA,10/28/14 15:59,0,330,330,0,0,0,1,0,0,1,1,0,-5478,5478,-5478,0,16.6030303,16.6,5478
model2,AA,10/29/14 15:59,330,330,330,0,109.9,0,0,109.9,109.15,0,0,0,0,0,0,0,0,16.27,0
model2,AA,10/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,0
model2,AA,10/31/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76,0
model2,ACE,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.63,0
model2,ACE,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.43,0
model2,ACE,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.85,0
model2,ACE,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.13,0
model2,ACE,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.14,0
model2,ACE,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.51,0
model2,ACE,9/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.72,0
model2,ACE,9/11/14 15:59,141,0,141,0,0,1.41,0,0,0,1.41,1.41,14867.04,0,14867.04,14867.04,105.43,0,105.44,14867.04
model2,ACE,9/12/14 0:00,141,0,0,0,0,-76.14,0,0,0,-76.14,-77.55,14789.49,0,14789.49,14789.49,105.43,0,104.89,14789.49
model2,ACE,9/15/14 15:59,141,141,141,29.61,0,0,0,29.61,29.02,0,0,0,0,0,0,0,0,105.66,0
model2,ACE,9/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.9,0
model2,ACE,9/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.02,0
model2,ACE,9/18/14 15:59,0,126,126,0,0,0,1.26,0,0,1.26,1.26,0,-13531.14,13531.14,-13531.14,0,107.4,107.39,13531.14
model2,ACE,9/19/14 15:59,126,126,126,0,46.62,0,0,46.62,46.09,0,0,0,0,0,0,0,0,107,0
model2,ACE,9/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.62,0
model2,ACE,9/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0
model2,ACE,9/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.59,0
model2,ACE,9/25/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.5,0
model2,ACE,9/26/14 15:59,107,0,107,0,0,1.07,0,0,0,1.07,1.07,11322.74,0,11322.74,11322.74,105.81,0,105.82,11322.74
model2,ACE,9/29/14 0:00,107,0,0,0,0,-103.79,0,0,0,-103.79,-104.86,11217.88,0,11217.88,11217.88,105.81,0,104.84,11217.88
model2,ACE,9/30/14 0:00,107,0,0,0,0,-100.58,0,0,0,-100.58,3.21,11221.09,0,11221.09,11221.09,105.81,0,104.87,11221.09
model2,ACE,10/1/14 15:59,107,107,107,-214,0,0,0,-214,-214.45,0,0,0,0,0,0,0,0,103.82,0
model2,ACE,10/2/14 15:59,104,0,104,0,0,0,0,0,0,0,0,10881.52,0,10881.52,10881.52,104.63,0,104.63,10881.52
model2,ACE,10/3/14 15:59,104,104,104,186.16,0,0,0,186.16,185.71,0,0,0,0,0,0,0,0,106.44,0
model2,ACE,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.2,0
model2,ACE,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.13,0
model2,ACE,10/8/14 15:59,0,142,142,0,0,0,2.84,0,0,2.84,2.84,0,-15158.5,15158.5,-15158.5,0,106.77,106.75,15158.5
model2,ACE,10/9/14 15:59,142,142,142,0,265.54,0,0,265.54,264.94,0,0,0,0,0,0,0,0,104.92,0
model2,ACE,10/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.9,0
model2,ACE,10/13/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.21,0
model2,ACE,10/14/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.24,0
model2,ACE,10/15/14 15:59,29,0,29,0,0,-1.74,0,0,0,-1.74,-1.74,2990.19,0,2990.19,2990.19,103.17,0,103.11,2990.19
model2,ACE,10/16/14 0:00,29,0,0,0,0,-7.25,0,0,0,-7.25,-5.51,2984.68,0,2984.68,2984.68,103.17,0,102.92,2984.68
